 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH02_0081_S01	druggableUpOutlier	PIK3C3	pc, pd		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3C3	None		
TH02_0081_S01	druggableUpOutlier	PIK3R1	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3R1	REACTOME_PI_3K_CASCADE (pc_up (5/56) and pd_up (6/56))		
TH02_0081_S01	geneSets_priority1	PID_CDC42_PATHWAY (comm_up (5/70) and pc_up (6/70) and pd_up (10/70))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up APC,CBL,CDC42BPA,GSK3B,PIK3R1,RPS6KB1 and pd_up APC,ATF2,CBL,CDC42BPA,DLG1,EPS8,GSK3B,MTOR,RPS6KB1,YES1						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_EGFR_IN_CANCER (comm_up (5/109) and pc_up (8/109) and pd_up (9/109))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCY2,CBL,CREB1,GAB1,PHLPP1,PIK3R1,SOS1,STAM2 and pd_up ADAM10,AKT3,CBL,CREB1,GAB1,MTOR,PTEN,SOS1,STAM2						
TH02_0081_S01	geneSets_priority1	KEGG_ERBB_SIGNALING_PATHWAY (comm_up (6/87) and pc_up (7/87) and pd_up (9/87))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,CBL,GAB1,GSK3B,PIK3R1,RPS6KB1,SOS1 and pd_up AKT3,CAMK2D,CBL,GAB1,GSK3B,MTOR,PTK2,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_priority1	PID_KIT_PATHWAY (comm_up (6/52) and pc_up (9/52) and pd_up (7/52))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,CREBBP,GAB1,GSK3B,PIK3R1,PTPN11,RPS6KB1,SOS1,SPRED1 and pd_up CBL,CREBBP,GAB1,GSK3B,PTEN,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_priority1	PID_MET_PATHWAY (pc_up (6/80) and pd_up (8/80))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up APC,CBL,GAB1,PIK3R1,PTPN11,SOS1 and pd_up APC,CBL,GAB1,MTOR,NUMB,PRKCI,PTK2,SOS1						
TH02_0081_S01	geneSets_priority1	PID_RET_PATHWAY (comm_up (4/39) and pc_up (6/39) and pd_up (5/39))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,FRS2,GAB1,PIK3R1,PTPN11,SOS1 and pd_up CREB1,FRS2,GAB1,PTK2,SOS1						
TH02_0081_S01	geneSets_priority1	REACTOME_G_ALPHA1213_SIGNALLING_EVENTS (comm_up (5/74) and pc_up (7/74) and pd_up (7/74))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up AKAP13,ARHGEF9,ITSN1,PIK3R1,ROCK2,SOS1,TRIO and pd_up AKAP13,ARHGEF12,ARHGEF9,ITSN1,KALRN,ROCK2,SOS1						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR (comm_up (5/112) and pc_up (8/112) and pd_up (8/112))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCY2,CBL,CREB1,FRS2,GAB1,PHLPP1,PIK3R1,SOS1 and pd_up AKT3,CBL,CREB1,FRS2,GAB1,MTOR,PTEN,SOS1						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE (comm_up (6/127) and pc_up (9/127) and pd_up (10/127))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCY2,CBL,CREB1,FRS2,GAB1,PHLPP1,PIK3R1,SOS1,TRIM24 and pd_up AKT3,CBL,CREB1,FRS2,GAB1,MTOR,PTEN,SOS1,TRIM24,ZMYM2						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR (comm_up (6/108) and pc_up (7/108) and pd_up (8/108))	druggable: MTOR (pd), PIK3C3 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up ATP6V0A2,FRS2,GAB1,PIK3C3,PIK3R1,RPS6KB1,SOS1 and pd_up ATP6V0A2,FRS2,GAB1,MTOR,PIK3C3,PPM1A,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALLING_BY_NGF (pc_up (10/217) and pd_up (13/217))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCY2,AKAP13,ARHGEF9,CREB1,FRS2,ITSN1,PHLPP1,PIK3R1,SOS1,TRIO and pd_up AKAP13,AKT3,ARHGEF12,ARHGEF9,CREB1,FRS2,ITSN1,KALRN,MEF2A,MTOR,PRKCI,PTEN,SOS1						
TH02_0081_S01	geneSets_priority1	BIOCARTA_CTCF_PATHWAY (pc_up (4/23) and pd_up (5/23))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1,RPS6KB1,SMAD5,TGFB2 and pd_up CDKN2A,MTOR,PTEN,RPS6KB1,SMAD5						
TH02_0081_S01	geneSets_priority1	BIOCARTA_G1_PATHWAY (comm_up (3/28) and pc_up (4/28))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up ATM,CDK4,GSK3B,TGFB2 and pd_up ATM,CDK4,CDKN2A,GSK3B						
TH02_0081_S01	geneSets_priority1	HALLMARK_G2M_CHECKPOINT (pd_up (16/200))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CCNT1,CDK4,HIF1A,MTF2,PDS5B and pd_up ATRX,CCNT1,CDC27,CDK4,CUL3,CUL4A,HIF1A,HNRNPU,KIF5B,MTF2,NUP50,PAFAH1B1,PDS5B,PRPF4B,SMARCC1,SMC1A						
TH02_0081_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (pd_up (11/201))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ARHGAP35,ARHGAP5,GSK3B,PIK3R1,PPP1R12A,ROCK2,SOS1,TNR and pd_up AKT3,ARHGAP5,DOCK1,GSK3B,PPP1R12A,PTEN,PTK2,ROCK2,SOS1,THBS1,VCL						
TH02_0081_S01	geneSets_priority1	KEGG_MAPK_SIGNALING_PATHWAY (comm_up (9/267) and pc_up (12/267))	druggable: AKT3 (pd)	overlap_genes_in_pc_up CACNG7,ELK4,FGF12,MAP3K4,MAP4K3,NF1,NLK,SOS1,STK4,TAB2,TAOK1,TGFB2 and pd_up AKT3,ATF2,ELK4,MAP3K4,MAP4K3,NF1,NLK,PPM1A,SOS1,STK4,TAB2,TAOK1						
TH02_0081_S01	geneSets_priority1	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY (pc_up (7/126))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,FRS2,GAB1,GSK3B,PIK3R1,PTPN11,SOS1 and pd_up AKT3,CAMK2D,FRS2,GAB1,GSK3B,SOS1						
TH02_0081_S01	geneSets_priority1	PID_FAK_PATHWAY (pc_up (5/59) and pd_up (9/59))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ARHGAP26,ARHGAP35,PIK3R1,ROCK2,SOS1 and pd_up ARHGAP26,ASAP1,DOCK1,GIT2,PTK2,ROCK2,SOS1,VCL,YES1						
TH02_0081_S01	geneSets_priority1	PID_FGF_PATHWAY (comm_up (4/55) and pc_up (7/55))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,FRS2,GAB1,NCAM1,PIK3R1,PTPN11,SOS1 and pd_up CBL,FRS2,GAB1,SOS1						
TH02_0081_S01	geneSets_priority1	PID_INSULIN_PATHWAY (comm_up (4/45) and pc_up (6/45))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,PIK3R1,PTPN11,RPS6KB1,SORBS1,SOS1 and pd_up CBL,PRKCI,RPS6KB1,SORBS1,SOS1						
TH02_0081_S01	geneSets_priority1	PID_PDGFRB_PATHWAY (pc_up (7/129))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ARHGAP35,CBL,DOCK4,GAB1,PIK3R1,PTPN11,SOS1 and pd_up CBL,EPS8,GAB1,MLLT4,PTEN,SOS1,YES1						
TH02_0081_S01	geneSets_priority1	PID_PI3K_PLC_TRK_PATHWAY (comm_up (4/36) and pc_up (6/36))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up AGAP2,CREB1,GAB1,GSK3B,PIK3R1,SOS1 and pd_up CREB1,GAB1,GSK3B,SOS1						
TH02_0081_S01	geneSets_priority1	PID_REELIN_PATHWAY (comm_up (3/29) and pc_up (4/29))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,GSK3B,MAP1B,PIK3R1 and pd_up CBL,GSK3B,MAP1B,PAFAH1B1						
TH02_0081_S01	geneSets_priority1	PID_SMAD2_3NUCLEAR_PATHWAY (comm_up (5/82) and pd_up (9/82))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK4,CREB1,CREBBP,NCOA1,SKIL and pd_up ATF2,CDK4,CREB1,CREBBP,NCOA1,NCOR1,PIAS3,SIN3A,SKIL						
TH02_0081_S01	geneSets_priority1	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM (pd_up (14/270))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,CBL,EIF4G3,IFNAR1,NCAM1,PIK3R1,SOS1,TAB2 and pd_up CAMK2D,CBL,EIF4G3,GBP1,IFNAR1,IL6ST,NUP214,NUP50,NUPL1,RANBP2,SOS1,TAB2,TPR,YES1						
TH02_0081_S01	geneSets_priority1	REACTOME_PI_3K_CASCADE (pc_up (5/56) and pd_up (6/56))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,FRS2,GAB1,PHLPP1,PIK3R1 and pd_up AKT3,CREB1,FRS2,GAB1,MTOR,PTEN						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR (comm_up (3/18) and pc_up (4/18))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,GAB1,PIK3R1,SOS1 and pd_up CBL,GAB1,SOS1						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_MUTANTS (comm_up (4/44) and pc_up (5/44))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up FRS2,GAB1,PIK3R1,SOS1,TRIM24 and pd_up FRS2,GAB1,SOS1,TRIM24,ZMYM2						
TH02_0081_S01	geneSets_priority1	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS (comm_up (5/45) and pc_up (7/45))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,CREB5,CREBBP,FRS2,MAP1B,PIK3R1,PTPN11 and pd_up CREB1,CREB5,CREBBP,FRS2,MAP1B						
TH02_0081_S01	geneSets_priority1	BIOCARTA_IGF1MTOR_PATHWAY (pd_up (4/20))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up GSK3B,PIK3R1,RPS6KB1 and pd_up GSK3B,MTOR,PTEN,RPS6KB1						
TH02_0081_S01	geneSets_priority1	BIOCARTA_MET_PATHWAY (pd_up (5/37))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up GAB1,PIK3R1,PTPN11,SOS1 and pd_up DOCK1,GAB1,PTEN,PTK2,SOS1						
TH02_0081_S01	geneSets_priority1	BIOCARTA_MTOR_PATHWAY (pd_up (5/23))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up EIF4G3,PIK3R1,RPS6KB1 and pd_up EIF3A,EIF4G3,MTOR,PTEN,RPS6KB1						
TH02_0081_S01	geneSets_priority1	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (8/155))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CBL,CREBBP,IFNAR1,PIK3R1,PTPN11,SOS1,SPRED1,STAM2 and pd_up AKT3,CBL,CREBBP,IFNAR1,IL6ST,PIAS3,SOS1,STAM2						
TH02_0081_S01	geneSets_priority1	PID_ANGIOPOIETIN_RECEPTOR_PATHWAY (pc_up (5/50))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ANGPT2,ELF2,PIK3R1,PTPN11,RPS6KB1 and pd_up ELF2,PTK2,RPS6KB1						
TH02_0081_S01	geneSets_priority1	PID_EPHB_FWD_PATHWAY (pc_up (5/40))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up EFNB3,GRIA1,ITSN1,PIK3R1,TF and pd_up GRIA1,ITSN1,KALRN,PTK2						
TH02_0081_S01	geneSets_priority1	PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY (pc_up (4/35))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up GAB1,PIK3R1,PTPN11,SOS1 and pd_up GAB1,PTK2,SOS1						
TH02_0081_S01	geneSets_priority1	PID_IFNG_PATHWAY (pc_up (5/40))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,CBL,CREBBP,PIK3R1,PTPN11 and pd_up CAMK2D,CBL,CREBBP,MTOR						
TH02_0081_S01	geneSets_priority1	PID_IGF1_PATHWAY (pc_up (4/30))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1,PTPN11,RPS6KB1,SOS1 and pd_up PTK2,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_priority1	PID_IL2_PI3K_PATHWAY (pc_up (4/34))	druggable: MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up PIK3R1,PTPN11,RPS6KB1,SOS1 and pd_up EIF3A,MTOR,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_priority1	PID_NCADHERIN_PATHWAY (pc_up (4/33))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up GAP43,GRIA2,PIK3R1,PTPN11 and pd_up GRIA2,KIF5B						
TH02_0081_S01	geneSets_priority1	PID_NETRIN_PATHWAY (pc_up (4/32))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up AGAP2,MAP1B,PIK3R1,TRIO and pd_up DOCK1,MAP1B,PTK2,YES1						
TH02_0081_S01	geneSets_priority1	PID_SHP2_PATHWAY (pc_up (6/58))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up ARHGAP35,FRS2,GAB1,PIK3R1,PTPN11,SOS1 and pd_up FRS2,GAB1,IL6ST,MLLT4,SOS1						
TH02_0081_S01	geneSets_priority1	PID_TRKR_PATHWAY (pc_up (5/62))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up FRS2,GAB1,PIK3R1,PTPN11,SOS1 and pd_up ARHGAP32,DOCK1,FRS2,GAB1,PRKCI,SOS1						
TH02_0081_S01	geneSets_priority1	PID_VEGFR1_PATHWAY (pc_up (4/26))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,HIF1A,PIK3R1,PTPN11 and pd_up CBL,HIF1A						
TH02_0081_S01	geneSets_priority1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR (pc_up (7/100))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ADCY2,CREB1,FRS2,GAB1,PHLPP1,PIK3R1,SOS1 and pd_up AKT3,CREB1,FRS2,GAB1,MTOR,PTEN,SOS1						
TH02_0081_S01	geneSets_priority1	REACTOME_GAB1_SIGNALOSOME (pd_up (5/38))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GAB1,PHLPP1,PIK3R1 and pd_up AKT3,CREB1,GAB1,MTOR,PTEN						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ERBB4 (pc_up (6/90))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,GFAP,PHLPP1,PIK3R1,SOS1,TAB2 and pd_up AKT3,CREB1,MTOR,NCOR1,PTEN,SOS1,TAB2						
TH02_0081_S01	geneSets_priority1	REACTOME_SIGNALING_BY_SCF_KIT (pd_up (7/78))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CBL,CREB1,PHLPP1,PIK3R1,SOS1 and pd_up AKT3,CBL,CREB1,MTOR,PTEN,SOS1,YES1						
TH02_0081_S01	geneSets_priority1	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES (pd_up (6/36))	druggable: AKT3 (pd)	overlap_genes_in_pc_up GAB1,RPS6KB1 and pd_up AKT3,CDKN2A,GAB1,ITPR1,PTEN,RPS6KB1						
TH02_0081_S01	geneSets_priority1	ST_INTEGRIN_SIGNALING_PATHWAY (pd_up (9/82))	druggable: AKT3 (pd)	overlap_genes_in_pc_up ARHGAP26,ARHGAP35,ROCK2,SOS1 and pd_up AKT3,ARHGAP26,ASAP1,CDKN2A,DOCK1,PTEN,PTK2,ROCK2,SOS1						
TH02_0081_S01	geneSets_priority1	ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY (pd_up (6/37))	druggable: AKT3 (pd)	overlap_genes_in_pc_up GSK3B,RPS6KB1,SOS1 and pd_up AKT3,CDKN2A,GSK3B,PTEN,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_priority1	ST_WNT_BETA_CATENIN_PATHWAY (comm_up (3/34))	druggable: AKT3 (pd)	overlap_genes_in_pc_up APC,GSK3B,SENP2 and pd_up AKT3,APC,GSK3B,SENP2						
TH02_0081_S01	geneSets_broadCancer	KEGG_PROSTATE_CANCER (comm_up (5/89) and pc_up (6/89) and pd_up (8/89))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREB1,CREB5,CREBBP,GSK3B,PIK3R1,SOS1 and pd_up AKT3,CREB1,CREB5,CREBBP,GSK3B,MTOR,PTEN,SOS1						
TH02_0081_S01	geneSets_broadCancer	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE (comm_up (5/87) and pc_up (6/87) and pd_up (7/87))	druggable: MTOR (pd), PIK3C3 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up FRS2,GAB1,PIK3C3,PIK3R1,RPS6KB1,SOS1 and pd_up FRS2,GAB1,MTOR,PIK3C3,PPM1A,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_broadCancer	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION (comm_up (6/72) and pc_up (6/72) and pd_up (9/72))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK19,CDK4,CREBBP,MED13L,MED14,NCOA1 and pd_up CCNC,CDK19,CDK4,CREBBP,MED13L,MED14,MED21,NCOA1,NCOR1						
TH02_0081_S01	geneSets_broadCancer	SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES (comm_up (5/51) and pc_up (6/51) and pd_up (8/51))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CBL,GSK3B,PIK3R1,RPS6KB1,SORBS1,SOS1 and pd_up AKT3,CBL,CDKN2A,GSK3B,PTEN,RPS6KB1,SORBS1,SOS1						
TH02_0081_S01	geneSets_broadCancer	BIOCARTA_CREB_PATHWAY (comm_up (3/27) and pc_up (4/27))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,CREB1,PIK3R1,SOS1 and pd_up CAMK2D,CREB1,SOS1						
TH02_0081_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (16/328))	druggable: AKT3 (pd), CDK4 (pc and pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up APC,CBL,CDK4,CREBBP,FGF12,GSK3B,HIF1A,PIK3R1,SOS1,STK4,TGFB2 and pd_up AKT3,APC,CBL,CCDC6,CDK4,CDKN2A,CREBBP,GSK3B,HIF1A,MTOR,PIAS3,PTEN,PTK2,SOS1,STK4,TPR						
TH02_0081_S01	geneSets_broadCancer	KEGG_TIGHT_JUNCTION (comm_up (6/134) and pd_up (12/134))	druggable: AKT3 (pd), CDK4 (pc and pd)	overlap_genes_in_pc_up ASH1L,CDK4,CSNK2A2,JAM2,MPDZ,MPP5,TJP1 and pd_up AKT3,ASH1L,CASK,CDK4,CSNK2A2,MLLT4,MPDZ,MPP5,PRKCI,PTEN,TJP1,YES1						
TH02_0081_S01	geneSets_broadCancer	PID_EPO_PATHWAY (comm_up (3/34) and pc_up (5/34))	druggable: PIK3R1 (pc)	overlap_genes_in_pc_up CBL,GAB1,PIK3R1,PTPN11,SOS1 and pd_up CBL,GAB1,SOS1						
TH02_0081_S01	geneSets_broadCancer	REACTOME_ADAPTIVE_IMMUNE_SYSTEM (pd_up (21/539))	druggable: AKT3 (pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CBL,CREB1,FBXW7,KIF2A,KIF5A,PHLPP1,PIK3R1,SEC61A2,SOS1,TAB2,TRIM9,TRIP12,UBE4A and pd_up AKT3,ASB8,CBL,CDC27,CREB1,CUL3,FBXW7,KIF5B,MTOR,PSMD12,PTEN,RAB7A,SEC24D,SEC31A,SEC61A2,SOS1,TAB2,TPP2,TRIP12,UBE4A,YES1						
TH02_0081_S01	geneSets_broadCancer	REACTOME_CELL_CYCLE (pd_up (17/421))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up ALMS1,ATM,CDK4,CLASP1,CLIP1,HIST1H2BF,HIST1H4E,KIF2A,MIS12,RSF1,TAOK1 and pd_up AHCTF1,ALMS1,ATM,CDC27,CDK4,CDKN2A,CLIP1,HIST1H2BF,HIST1H4E,MIS12,PAFAH1B1,PCM1,PSMD12,RANBP2,RSF1,SMC1A,TAOK1						
TH02_0081_S01	geneSets_broadCancer	REACTOME_HEMOSTASIS (pc_up (16/466))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up ANGPT2,ATP1B2,CBX5,CREBBP,DGKG,DOCK10,DOCK4,JAM2,JMJD1C,KIF2A,KIF5A,PIK3R1,SCG3,SOS1,TF,TGFB2 and pd_up AKT3,CBX5,CREBBP,DGKG,DOCK1,JMJD1C,KIF5B,PTK2,SIN3A,SOS1,THBS1,VCL,YES1						
TH02_0081_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pd_up (37/933))	druggable: AKT3 (pd), MTOR (pd), PIK3C3 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,CBL,CREB1,CREBBP,EEA1,EIF4G3,FBXW7,IFNAR1,KIF2A,KIF5A,NCAM1,PHLPP1,PIK3C3,PIK3R1,SEC61A2,SOS1,TAB2,TRIM9,TRIP12,UBE4A and pd_up AKT3,ASB8,ATF2,CAMK2D,CBL,CDC27,CREB1,CREBBP,CUL3,EEA1,EIF4G3,FBXW7,GBP1,IFNAR1,IL6ST,KIF5B,MEF2A,MTOR,NUP214,NUP50,NUPL1,PIK3C3,PSMD12,PTEN,RAB7A,RANBP2,SAA1,SEC24D,SEC31A,SEC61A2,SOS1,TAB2,TPP2,TPR,TRIP12,UBE4A,YES1						
TH02_0081_S01	geneSets_broadCancer	KEGG_CHRONIC_MYELOID_LEUKEMIA (pc_up (6/73))	druggable: AKT3 (pd), CDK4 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CBL,CDK4,PIK3R1,PTPN11,SOS1,TGFB2 and pd_up AKT3,CBL,CDK4,CDKN2A,SOS1						
TH02_0081_S01	geneSets_broadCancer	KEGG_GLIOMA (pd_up (7/65))	druggable: AKT3 (pd), CDK4 (pc and pd), MTOR (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CAMK2D,CDK4,PIK3R1,SOS1 and pd_up AKT3,CAMK2D,CDK4,CDKN2A,MTOR,PTEN,SOS1						
TH02_0081_S01	geneSets_broadCancer	KEGG_RENAL_CELL_CARCINOMA (pc_up (7/70))	druggable: AKT3 (pd), PIK3R1 (pc)	overlap_genes_in_pc_up CREBBP,GAB1,HIF1A,PIK3R1,PTPN11,SOS1,TGFB2 and pd_up AKT3,CREBBP,GAB1,HIF1A,SOS1						
TH02_0081_S01	geneSets_broadCancer	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (comm_up (5/108))	druggable: AKT3 (pd), CDK4 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up CBL,CDK4,GSK3B,NFAT5,PIK3R1,SOS1 and pd_up AKT3,CBL,CDK4,DLG1,GSK3B,NFAT5,SOS1						
TH02_0081_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_DN (comm_up (10/144) and pc_up (10/144) and pd_up (16/144))	druggable: AKT3 (pd)	overlap_genes_in_pc_up ARHGEF9,CDC42BPA,CDK13,MAP1B,MMP16,NFIB,NIPBL,PHF3,PRDM2,TJP1 and pd_up AKT3,ARHGEF9,ATRX,CDC42BPA,CDK13,DLG1,KALRN,MAP1B,MMP16,NFIB,NIPBL,PHF3,PIAS3,PRDM2,PTEN,TJP1						
TH02_0081_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (comm_up (12/396) and pc_up (20/396) and pd_up (22/396))	druggable: AKT3 (pd), CDK4 (pc and pd)	overlap_genes_in_pc_up ARHGAP35,CDK19,CDK4,CLASP1,CREB1,CREBBP,CSNK2A2,DPYSL2,MED13L,MED14,NCAM1,NCAN,NCOA1,RBPJ,RDX,ROCK2,SOS1,ST8SIA4,TCF12,TRIO and pd_up AKT3,ARHGEF12,CCNC,CDK19,CDK4,CREB1,CREBBP,CSNK2A2,DLG1,DOCK1,MED13L,MED14,MED21,MEF2A,NCOA1,NCOR1,NUMB,PTK2,RBPJ,ROCK2,SOS1,ST8SIA4						
TH02_0081_S01	geneSets_nonCancer	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES (comm_up (6/67) and pc_up (6/67) and pd_up (11/67))	druggable: AKT3 (pd), MTOR (pd)	overlap_genes_in_pc_up CREB1,CREB5,GAB1,GSK3B,RPS6KB1,SOS1 and pd_up AKT3,CDKN2A,CREB1,CREB5,GAB1,GSK3B,MTOR,PTEN,PTK2,RPS6KB1,SOS1						
TH02_0081_S01	geneSets_nonCancer	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS (pd_up (18/478))	druggable: PIK3C3 (pc and pd), PIK3R1 (pc)	overlap_genes_in_pc_up ABCA1,CDK19,CREBBP,GLIPR1,MED13L,MED14,MTMR2,NCOA1,PIK3C3,PIK3R1,SLC44A5 and pd_up CCNC,CDK19,CREBBP,GLIPR1,HSD17B4,MED13L,MED14,MED21,MTMR2,NCOA1,NCOR1,PIK3C3,PLIN2,PTEN,SACM1L,SGPL1,SIN3A,SLC44A5						
TH02_0081_S01	geneSets_nonCancer	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE (comm_up (2/10))	druggable: PIK3C3 (pc and pd)	overlap_genes_in_pc_up MTMR2,PIK3C3 and pd_up MTMR2,PIK3C3						
TH02_0082_S01	new sample									
TH02_0082_S01	Disease	diffuse intrinsic pontine glioma								
TH02_0082_S01	druggableUpOutlier	No druggableUpOutliers								
TH02_0082_S01		no enriched druggable geneSets								
TH02_0083_S01	new sample									
TH02_0083_S01	Disease	diffuse intrinsic pontine glioma								
TH02_0083_S01	druggableUpOutlier	KDR	pc, pd		Receptor Tyrosine Kinase (RTK)		KDR	None		
TH02_0083_S01	druggableUpOutlier	MET	pd		Receptor Tyrosine Kinase (RTK)		MET	None		
